BIG_MESSAGE.EXTRACTION.ACTIVATED	抽出ポイント起動
TUTORIAL.FINAL_EXTRACTION.TEXT	出発の時間だ! トラックに戻れば回復・蘇生することができます
TUTORIAL.MULTIPLE_EXTRACTIONS.TEXT	このレベルは複数の <b><u>抽出ポイント</u></b> があります\nすべてのポイントを完了させましょう!
TUTORIAL.SHOP.TEXT	<b><u>ショップ</u></b> では購入するアイテムを抽出します\n失敗しても大丈夫!
TUTORIAL.EXPRESSIONS.TEXT	[expression1]/[expression2]/[expression3]/[expression4]/[expression5]/[expression6] で表情を変えられます  組み合わせも可!
TUTORIAL.OVERCHARGE_1.TEXT	モンスターをつかむとオーバーチャージが発生します\n満タンになると吹き飛ばされます
TUTORIAL.OVERCHARGE_2.TEXT	複数人でつかめばオーバーチャージは抑えられます
TUTORIAL.HEAD_SPECTATE_1.TEXT	死亡したらエネルギーを貯めて  一時的に話したり飛び跳ねたりすることができます
TUTORIAL.HEAD_SPECTATE_2.TEXT	[jump] 長押しでジャンプ  高くジャンプするほど多くのバッテリーを消費します
TUTORIAL.ENEMY_ELSA.TEXT	犬を撫でてあげよう!
MOON_UI.SKIP	[menu] でスキップ
TUTORIAL.EXTRACTION_REMINDER.TEXT	<b><u>抽出ポイント</u></b> を起動してお宝を納品する
TUTORIAL.COSMETIC_WORLD_OBJECT_1.TEXT	これは <b><u>COSMETIC BOX</u></b>  納品すると報酬を得られます
TUTORIAL.COSMETIC_WORLD_OBJECT_2.TEXT	破損してしまったら 自分の体力を使って<b><u>修復</u></b>できます
TUTORIAL.COSMETIC_SHOP_MACHINE.TEXT	ショップにあるマシンに <b><u>トークン</u></b> を入れて報酬を受け取ろう
FOCUS.PREFIX	注目
FOCUS.SHOP.INTRO	ショップでお買い物しよう
FOCUS.TRUCK.INTRO	旅を楽しんで、充電も準備万端に!
COSMETIC_SHOP_MACHINE.INFO_TEXT	[interact] でトークンを入れる
ITEM.CART_CANNON	カートキャノン
ITEM.CART_LASER	カートレーザー
ITEM.CART_MEDIUM	カート
ITEM.CART_SMALL	ポケットカート
ITEM.DRONE_BATTERY	リチャージドローン
ITEM.DRONE_FEATHER	フェザードローン
ITEM.DRONE_INDESTRUCTIBLE	不滅ドローン
ITEM.DRONE_TORQUE	回転ドローン
ITEM.DRONE_ZERO_GRAVITY	無重力ドローン
ITEM.DUCK_BUCKET	アヒル用バケツ
ITEM.EXTRACTION_TRACKER	抽出ポイント探知機
ITEM.GRENADE_DUCT_TAPED	ガムテープ手榴弾
ITEM.GRENADE_EXPLOSIVE	グレネード
ITEM.GRENADE_HUMAN	対人グレネード
ITEM.GRENADE_SHOCKWAVE	衝撃派グレネード
ITEM.GRENADE_STUN	スタングレネード
ITEM.GUN_HANDGUN	ハンドガン
ITEM.GUN_LASER	レーザー銃
ITEM.GUN_SHOCKWAVE	衝撃銃
ITEM.GUN_SHOTGUN	ショットガン
ITEM.GUN_STUN	電撃ボウガン
ITEM.GUN_TRANQ	麻酔銃
ITEM.HEALTH_PACK_LARGE	回復キット大 (100)
ITEM.HEALTH_PACK_MEDIUM	回復キット中 (50)
ITEM.HEALTH_PACK_SMALL	回復キット小 (25)
ITEM.LEAF_BLOWER	ガーデンブロワー
ITEM.MELEE_BASEBALL_BAT	バット
ITEM.MELEE_FRYING_PAN	フライパン
ITEM.MELEE_INFLATABLE_HAMMER	エアーハンマー
ITEM.MELEE_SLEDGE_HAMMER	スレッジハンマー
ITEM.MELEE_STUN_BATON	スタンガン
ITEM.MELEE_SWORD	剣
ITEM.MINE_EXPLOSIVE	地雷
ITEM.MINE_SHOCKWAVE	衝撃波地雷
ITEM.MINE_STUN	トラバサミ
ITEM.ORB_ZERO_GRAVITY	無重力オーブ
ITEM.PHASE_BRIDGE	フェーズブリッジ
ITEM.POWER_CRYSTAL	エナジークリスタル
ITEM.REVIVE_ITEM	Defibro
ITEM.RUBBER_DUCK	アヒルのおもちゃ
ITEM.STAFF_TORQUE	回転ステッキ
ITEM.STAFF_VOID	空虚ステッキ
ITEM.STAFF_ZERO_GRAVITY	無重力ステッキ
ITEM.UPGRADE_DEATH_HEAD_BATTERY	死亡時ヘッドバッテリー強化
ITEM.UPGRADE_MAP_PLAYER_COUNT	プレイヤーカウント強化
ITEM.UPGRADE_PLAYER_CROUCH_REST	スタミナ回復速度強化
ITEM.UPGRADE_PLAYER_ENERGY	スタミナ強化
ITEM.UPGRADE_PLAYER_EXTRA_JUMP	エキストラジャンプ強化
ITEM.UPGRADE_PLAYER_GRAB_RANGE	つかみ距離強化
ITEM.UPGRADE_PLAYER_GRAB_STRENGTH	筋力強化
ITEM.UPGRADE_PLAYER_HEALTH	最大体力強化
ITEM.UPGRADE_PLAYER_SPRINT_SPEED	ダッシュ速度強化
ITEM.UPGRADE_PLAYER_TUMBLE_CLIMB	転がりつかみ強化
ITEM.UPGRADE_PLAYER_TUMBLE_LAUNCH	転がり距離強化
ITEM.UPGRADE_PLAYER_TUMBLE_WINGS	転がり羽根強化
ITEM.VALUABLE_TRACKER	お宝探知機
ITEM.VEHICLE_SEMISCOOTER	ハウラー
ITEM.VEHICLE_SEMISCOOTER_SMALL	スカウト
ITEM.WALKIE_TALKIE	無線機
ITEM.WALKIE_TALKIE_BOX	無線機
STATS.UPGRADES.HEADER	アップグレード
LEVEL.HEADER	Level
STATS.UPGRADE.CROUCH_REST	スタミナ回復速度
STATS.UPGRADE.DEATH_HEAD_BATTERY	死亡時ヘッドバッテリー
STATS.UPGRADE.EXTRA_JUMP	エクストラジャンプ
STATS.UPGRADE.HEALTH	最大体力
STATS.UPGRADE.LAUNCH	転がり距離
STATS.UPGRADE.MAP_PLAYER_COUNT	プレイヤーカウント
STATS.UPGRADE.RANGE	つかみ距離
STATS.UPGRADE.SPEED	ダッシュ速度
STATS.UPGRADE.STAMINA	スタミナ
STATS.UPGRADE.STRENGTH	筋力
STATS.UPGRADE.TUMBLE_CLIMB	転がりつかみ
STATS.UPGRADE.TUMBLE_WINGS	転がり羽根
ENEMY.ANIMAL	アニマル
ENEMY.BANG	バンガー
ENEMY.BEAMER	クラウン
ENEMY.BIRTHDAY_BOY	バースデーボーイ
ENEMY.BOMB_THROWER	クリーンアップクルー
ENEMY.BOWTIE	ボウタイ
ENEMY.CEILING_EYE	ピーパー
ENEMY.DUCK	エイペックスプレデター
ENEMY.ELSA	エルサ
ENEMY.FLOATER	メンタリスト
ENEMY.GNOME	ノーム
ENEMY.HEAD	ヘッドマン
ENEMY.HEAD_GRABBER	ヘッドグラブ
ENEMY.HEART_HUGGER	ハートハガー
ENEMY.HIDDEN	ヒドゥン
ENEMY.HUNTER	ハントマン
ENEMY.OOGLY	ウーグリー
ENEMY.ROBE	ローブ
ENEMY.RUNNER	リーパー
ENEMY.SHADOW	ルーム
ENEMY.SLOW_MOUTH	スピュワー
ENEMY.SLOW_WALKER	トラッジ
ENEMY.SPINNY	ギャムビット
ENEMY.THIN_MAN	シャドーチャイルド
ENEMY.TICK	チック
ENEMY.TRICYCLE	ベラ
ENEMY.TUMBLER	シェフ
ENEMY.UPSCREAM	アップスクリーム
ENEMY.VALUABLE_THROWER	ラグラット
UPGRADE_STAND.INTERACT	長押しして再抽選 ({cost})
ARENA.WINNER.KING	負け犬キング!
ARENA.WINNER.LOSERS	みんな負け犬!
ARENA.MESSAGE.LAST_LOSER_STANDING	最後の負け犬
ARENA.MESSAGE.GAME_OVER	Game Over
SPECTATE_LIST.HEADER	壊れた奴ら:
ITEM.CART.MODE_STRONG	モード: 強
ITEM.CART.MODE_WEAK	モード: 弱
