MAIN.PRIVATE_GAME	プライベートゲーム
POPUP.DELETE_SAVE.OPT2	いいえ
POPUP.USE_BACKUP.HEADER	バックアップから復元
POPUP.USE_BACKUP.BODY	このセーブファイルを最新のバックアップで上書きしてよろしいですか?\n\nこの操作は取り消せません!
POPUP.USE_BACKUP.OPT1	はい
POPUP.USE_BACKUP.OPT2	いいえ
REGIONS.HEADER	リージョン
REGIONS.BACK	戻る
REGIONS.REGION.PICK_BEST_REGION	自動選択
REGIONS.REGION.ASIA	アジア
REGIONS.REGION.AU	オーストラリア
REGIONS.REGION.CAE	カナダ東部
REGIONS.REGION.CN	中国大陸
REGIONS.REGION.EU	ヨーロッパ
REGIONS.REGION.HK	香港
REGIONS.REGION.IN	インド
REGIONS.REGION.JP	日本
REGIONS.REGION.ZA	南アフリカ
REGIONS.REGION.SA	南アメリカ
REGIONS.REGION.KR	大韓民国
REGIONS.REGION.TR	トルコ
REGIONS.REGION.UAE	アラブ首長国連邦
REGIONS.REGION.US	アメリカ東部
REGIONS.REGION.USW	アメリカ西部
REGIONS.REGION.USSC	アメリカ中南部
SAVES.SAVE_INFO.SORRY	ごめんなさい!
SAVES.SAVE_INFO.PRESS_DELETE	削除 を押してこのセーブファイルを削除してください
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |,   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	破損したセーブファイル
SAVES.SAVE_FILE.UH_OH	Uh Oh!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	破損したセーブファイル
SAVES_RENAME.RENAME_SAVE	セーブ名変更
SAVES_RENAME.BACK	戻る
SAVES_RENAME.CONFIRM	確定
SAVES.SAVE_INFO.CLICK_TO_RENAME	(クリックして名前変更)
SETTINGS.HEADER	設定
SETTINGS.GAMEPLAY	ゲーム
SETTINGS.GRAPHICS	グラフィック
SETTINGS.AUDIO	オーディオ
SETTINGS.CONTROLS	コントロール
SETTINGS.LANGUAGE	言語(Language)
SETTINGS.BACK	戻る
SETTINGS.BOOL.ON	ON
SETTINGS.BOOL.OFF	OFF
SETTINGS.BOOL.TOGGLE	切り替え
SETTINGS.BOOL.HOLD	長押し
SETTINGS.GAMEPLAY.HEADER	ゲーム
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	デフォルトに戻す
SETTINGS.GAMEPLAY.TIPS	ヒント
SETTINGS.GAMEPLAY.PLAYER_NAMES	プレイヤー名
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	光過敏症
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	クモ恐怖症
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	マウス感度
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	カメラスムージング
SETTINGS.GAMEPLAY.CAMERA_SHAKE	カメラ揺れ
SETTINGS.GAMEPLAY.CAMERA_NOISE	カメラノイズ
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	カメラアニメーション
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Y軸反転
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	アイテムを放した時の\n自動保持
SETTINGS.GAMEPLAY.RICH_PRESENCE	Rich Presence
SETTINGS.GAMEPLAY.COSMETICS	コスチューム
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	デフォルトに戻す
SETTINGS.GRAPHICS.WINDOW_MODE	ウインドウ表示
SETTINGS.GRAPHICS.VSYNC	垂直同期(VSync) 
SETTINGS.GRAPHICS.GAMMA	ガンマ
SETTINGS.GRAPHICS.MAX_FPS	最大FPS
SETTINGS.GRAPHICS.LIGHT_DISTANCE	光の描画距離
SETTINGS.GRAPHICS.SHADOW_QUALITY	影の品質
SETTINGS.GRAPHICS.SHADOW_DISTANCE	影の描画距離
SETTINGS.GRAPHICS.MOTION_BLUR	モーションブラー
SETTINGS.GRAPHICS.LENS_DISTORTION	レンズのゆがみ
SETTINGS.GRAPHICS.BLOOM	ブルーム
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	色収差
SETTINGS.GRAPHICS.GRAIN	粒子
SETTINGS.GRAPHICS.GLITCH_LOOP	グリッチループ
SETTINGS.GRAPHICS.PIXELATION	ピクセル化
SETTINGS.AUDIO.HEADER	オーディオ
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	デフォルトに戻す
SETTINGS.AUDIO.MASTER_VOLUME	主音量
SETTINGS.AUDIO.MUSIC_VOLUME	ミュージック
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	近接音声
SETTINGS.AUDIO.MICROPHONE	マイク
SETTINGS.AUDIO.MICROPHONE_VOLUME	マイク音量
SETTINGS.AUDIO.PUSH_TO_TALK	プッシュトゥトーク
SETTINGS.CONTROLS.HEADER	コントロール
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	デフォルトに戻す
SETTINGS.CONTROLS.MOVEMENT	移動
SETTINGS.CONTROLS.MOVE_FORWARD	前
SETTINGS.CONTROLS.MOVE_LEFT	左
SETTINGS.CONTROLS.MOVE_BACK	後
SETTINGS.CONTROLS.MOVE_RIGHT	右
SETTINGS.CONTROLS.JUMP	ジャンプ
SETTINGS.CONTROLS.CROUCH	しゃがむ
SETTINGS.CONTROLS.SPRINT	ダッシュ
SETTINGS.CONTROLS.TUMBLE	転がる
SETTINGS.CONTROLS.GRABBING	つかむ
SETTINGS.CONTROLS.GRAB	つかむ
SETTINGS.CONTROLS.ROTATE	回転
SETTINGS.CONTROLS.PUSH	押す
SETTINGS.CONTROLS.PULL	引く
SETTINGS.CONTROLS.OTHER	その他
SETTINGS.CONTROLS.MAP	マップ
SETTINGS.CONTROLS.INTERACT	インタラクト
SETTINGS.CONTROLS.INVENTORY_1	インベントリ 1 
SETTINGS.CONTROLS.INVENTORY_2	インベントリ 2 
SETTINGS.CONTROLS.INVENTORY_3	インベントリ 3 
SETTINGS.CONTROLS.CHAT	チャット
SETTINGS.CONTROLS.CONFIRM	送信
SETTINGS.CONTROLS.BACK	戻る
SETTINGS.CONTROLS.MENU	メニュー
SETTINGS.CONTROLS.SPECTATE_NEXT	次の人を観戦
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	前の人を観戦
SETTINGS.CONTROLS.PUSH_TO_TALK	プッシュトゥトーク
SETTINGS.CONTROLS.TOGGLE_MUTE	ミュート切り替え
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	表情
SETTINGS.LANGUAGE.HEADER	言語(Language)
COSMETICS.CATEGORY.PRESETS	プリセット
COSMETICS.CATEGORY.HEAD	頭
COSMETICS.CATEGORY.ARMS	腕
COSMETICS.CATEGORY.BODY	胴体
COSMETICS.CATEGORY.LEGS	足
COSMETICS.CONFIRM	確定
COSMETICS.COLOR.HEADER	色を選択
COSMETICS.COLOR.CONFIRM	確定
COSMETICS.PRESET.DELETE	削除
COSMETICS.TYPE.HAT	帽子
COSMETICS.TYPE.ARM_RIGHT	右アームウェア
COSMETICS.TYPE.ARM_LEFT	左アームウェア
COSMETICS.TYPE.LEG_RIGHT	右レッグウェア
COSMETICS.TYPE.LEG_LEFT	左レッグウェア
COSMETICS.TYPE.HEAD_TOP_MESH	頭 上部
COSMETICS.TYPE.HEAD_BOTTOM_MESH	頭 下部
COSMETICS.TYPE.BODY_TOP_MESH	胴体 上部
COSMETICS.TYPE.BODY_BOTTOM_MESH	胴体 下部
COSMETICS.TYPE.ARM_RIGHT_MESH	右腕
COSMETICS.TYPE.ARM_LEFT_MESH	左腕
COSMETICS.TYPE.LEG_RIGHT_MESH	右足
COSMETICS.TYPE.LEG_LEFT_MESH	左足
COSMETICS.TYPE.GRABBER_MESH	手
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	右まぶた
COSMETICS.TYPE.EYE_LID_LEFT_MESH	左まぶた
COSMETICS.TYPE.BODY_TOP_OVERLAY	胴体 上部オーバーレイ
COSMETICS.TYPE.EARS	耳
COSMETICS.TYPE.EYEWEAR	アイウェア
COSMETICS.TYPE.BODY_TOP	ボディウェア 上部
COSMETICS.TYPE.BODY_BOTTOM	ボディウェア 下部
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	胴体 下部オーバーレイ
COSMETICS.TYPE.HEAD_TOP_OVERLAY	頭 上部オーバーレイ
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	頭 下部オーバーレイ
POPUP.DELETE_PRESET.HEADER	プリセットを削除
POPUP.DELETE_PRESET.BODY	このプリセットを完全に削除します
POPUP.DELETE_PRESET.OPT1	はい
POPUP.DELETE_PRESET.OPT2	いいえ
SETTINGS.CONTROLS.ANGRY	怒る
SETTINGS.CONTROLS.SAD	悲観
SETTINGS.CONTROLS.SUSPICIOUS	不審
SETTINGS.CONTROLS.EYES_CLOSED	目を閉じる
SETTINGS.CONTROLS.SCARED	恐怖
SETTINGS.CONTROLS.HAPPY	幸福
POPUP.COSMETICS_COLOR_ALL.HEADER	色の変更
POPUP.COSMETICS_COLOR_ALL.BODY	これによりボディパーツとコスチュームの色が変更されます\n\nこの操作は取り消せません!
POPUP.COSMETICS_COLOR_ALL.OPT1	OK!
POPUP.COSMETICS_COLOR_ALL.OPT2	やめる
SETTINGS.AUDIO.SFX_VOLUME	効果音
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	テキスト読み上げ
SETTINGS.CAMERA_ANIMATION.OFF	無効
SETTINGS.CAMERA_ANIMATION.VERY_LOW	最低
SETTINGS.CAMERA_ANIMATION.LOW	低
SETTINGS.CAMERA_ANIMATION.MEDIUM	中
SETTINGS.CAMERA_ANIMATION.DEFAULT	標準
SETTINGS.RICH_PRESENCE.OFF	無効
SETTINGS.RICH_PRESENCE.MINIMAL	最低限
SETTINGS.RICH_PRESENCE.FULL	すべて
SETTINGS.WINDOW_MODE.WINDOWED	ウインドウ
SETTINGS.WINDOW_MODE.FULLSCREEN	フルスクリーン
SETTINGS.MAX_FPS.UNLIMITED	無制限
SETTINGS.LIGHT_DISTANCE.VERY_LOW	最低
SETTINGS.LIGHT_DISTANCE.LOW	低
SETTINGS.LIGHT_DISTANCE.MEDIUM	中
SETTINGS.LIGHT_DISTANCE.HIGH	高
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	最高
SETTINGS.SHADOW_QUALITY.VERY_LOW	最低
SETTINGS.SHADOW_QUALITY.LOW	低
SETTINGS.SHADOW_QUALITY.MEDIUM	中
SETTINGS.SHADOW_QUALITY.HIGH	高
SETTINGS.SHADOW_QUALITY.VERY_HIGH	最高
SETTINGS.SHADOW_DISTANCE.VERY_LOW	最低
SETTINGS.SHADOW_DISTANCE.LOW	低
SETTINGS.SHADOW_DISTANCE.MEDIUM	中
SETTINGS.SHADOW_DISTANCE.HIGH	高
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	最高
SETTINGS.RENDER_SIZE.SMALL	小
SETTINGS.RENDER_SIZE.MEDIUM	中
SETTINGS.RENDER_SIZE.DEFAULT	標準
SETTINGS.MIC_DEVICE.NONE	マイクなし
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	デフォルトに戻す
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	ゲーム設定をリセットしてよろしいですか?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	はい
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	いいえ
SETTINGS.GRAPHICS.HEADER	グラフィック
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	デフォルトに戻す
POPUP.RESET_GRAPHICS_SETTINGS.BODY	グラフィック設定をリセットしてよろしいですか?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	はい
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	いいえ
POPUP.RESET_AUDIO_SETTINGS.HEADER	デフォルトに戻す
POPUP.RESET_AUDIO_SETTINGS.BODY	オーディオ設定をリセットしてよろしいですか?
POPUP.RESET_AUDIO_SETTINGS.OPT1	はい
POPUP.RESET_AUDIO_SETTINGS.OPT2	いいえ
POPUP.RESET_CONTROLS_SETTINGS.HEADER	デフォルトに戻す
POPUP.RESET_CONTROLS_SETTINGS.BODY	コントロール設定をリセットしてよろしいですか?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	はい
POPUP.RESET_CONTROLS_SETTINGS.OPT2	いいえ
COSMETICS.TYPE.FOOT_RIGHT	右フットウェア
COSMETICS.TYPE.FOOT_LEFT	左フットウェア
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	右腕オーバーレイ
COSMETICS.TYPE.ARM_LEFT_OVERLAY	左腕オーバーレイ
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	右足オーバーレイ
COSMETICS.TYPE.LEG_LEFT_OVERLAY	左足オーバーレイ
PASSWORD.HEADER	パスワード
PASSWORD.SKIP	スキップ
LOADING.LOADING	読み込み中...
LOADING.STUCK_PROMPT_TOP_TEXT	読み込みが続いていますか?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	[menu] を押してメインメニューに戻れます
LOBBY.HEADER	ロビー
LOBBY.CHAT_PROMPT	[chat] でチャット
LOBBY.START_GAME	ゲーム開始
LOBBY.INVITE	招待
LOBBY.SETTINGS	設定
LOBBY.CUSTOMIZE	カスタマイズ
LOBBY.LEAVE	離脱
POPUP.START_GAME.HEADER	ゲーム開始
POPUP.START_GAME.BODY	全員揃いましたか?\n\n一度ゲームが始まると 途中参加ができなくなります
POPUP.START_GAME.OPT1	OK!
POPUP.START_GAME.OPT2	ちょっと待って!
POPUP.LEAVE_LOBBY.HEADER	ロビーからぬける
POPUP.LEAVE_LOBBY.BODY	よろしいですか?
POPUP.LEAVE_LOBBY.OPT1	はい
POPUP.LEAVE_LOBBY.OPT2	いいえ
POPUP.NEW_GAME.HEADER	新規作成
POPUP.NEW_GAME.BODY	ゲームを始めてよろしいですか?
POPUP.NEW_GAME.OPT1	はい
POPUP.NEW_GAME.OPT2	いいえ
PASSWORD.CONFIRM	確定
LOBBY.PLAYER_JOINING	プレイヤー参加中...
COSMETICS.TYPE.HEAD_BOTTOM	頭コスチューム
POPUP.COSMETICS_RESET_ALL.HEADER	オールクリア
POPUP.COSMETICS_RESET_ALL.BODY	すべてのボディパーツとコスチュームを元に戻します\n\nこの操作は取り消せません!
POPUP.COSMETICS_RESET_ALL.OPT1	OK!
POPUP.COSMETICS_RESET_ALL.OPT2	やめる
POPUP.COSMETICS_RESET_BODY.HEADER	ボディパーツクリア
POPUP.COSMETICS_RESET_BODY.BODY	すべてのボディパーツを元に戻します\n\nこの操作は取り消せません!
POPUP.COSMETICS_RESET_BODY.OPT1	OK!
POPUP.COSMETICS_RESET_BODY.OPT2	やめる
POPUP.COSMETICS_RESET_COSMETICS.HEADER	コスチュームクリア
POPUP.COSMETICS_RESET_COSMETICS.BODY	すべてのコスチュームを外します\n\nこの操作は取り消せません!
POPUP.COSMETICS_RESET_COSMETICS.OPT1	OK!
POPUP.COSMETICS_RESET_COSMETICS.OPT2	やめる
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	オールランダム
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	すべてのボディパーツとコスチュームをランダムに選択します\n\nこの操作は取り消せません!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	OK!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	やめる
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	ランダムボディパーツ
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	すべてのボディパーツをランダムに選択します\n\nこの操作は取り消せません!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	OK!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	やめる
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	ランダムコスチューム
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	すべてのコスチュームをランダムに選択します\n\nこの操作は取り消せません!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	OK!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	やめる
POPUP.COSMETICS_COLOR_BODY.HEADER	ボディの色変更
POPUP.COSMETICS_COLOR_BODY.BODY	ボディ全体の色が変更されます\n\nこの操作は取り消せません!
POPUP.COSMETICS_COLOR_BODY.OPT1	OK!
POPUP.COSMETICS_COLOR_BODY.OPT2	やめる
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	コスチュームの色変更
POPUP.COSMETICS_COLOR_COSMETICS.BODY	すべてのコスチュームの色が変更されます\n\nこの操作は取り消せません!
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	OK!
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	やめる
COSMETICS.TYPE.FACE_TOP	顔 上部
COSMETICS.TYPE.FACE_BOTTOM	顔 下部
MAIN.CUSTOMIZE	カスタマイズ
ESC.HEADER	メニュー
ESC.CONTINUE	つづける
ESC.CUSTOMIZE	カスタマイズ
ESC.SETTINGS	設定
ESC.SELF_DESTRUCT	自爆
ESC.ACTIVE_MOONS	月の満ち欠け
ESC.MAIN_MENU	メインメニューへ
ESC.QUIT_GAME	ゲーム終了
POPUP.MAIN_MENU.OPT2	いいえ
MOONS.HEADER	月の満ち欠け
MOONS.BACK	戻る
MOONS.MOON_1.NAME	三日月
MOONS.MOON_1.ATTRIBUTE_1	トラックの回復量が 35 に減少
MOONS.MOON_1.ATTRIBUTE_2	お宝を使ってモンスターを倒すのが難しくなった
MOONS.MOON_2.NAME	半月
MOONS.MOON_2.ATTRIBUTE_1	モンスターをつかむとオーバーチャージするようになった
MOONS.MOON_2.ATTRIBUTE_2	モンスターは落とし穴で死亡せずダメージを受けるようになった
MOONS.MOON_2.ATTRIBUTE_3	トラックの回復量が 25 に減少
MOONS.MOON_3.NAME	満月
MOONS.MOON_3.ATTRIBUTE_1	モンスターをつかんだ時のオーバーチャージ速度が 25% 上昇
MOONS.MOON_3.ATTRIBUTE_2	モンスターが落とし穴から受けるダメージが減少した
MOONS.MOON_4.NAME	スーパームーン
MOONS.MOON_4.ATTRIBUTE_1	モンスターのオーブが破壊されると爆発するようになった
MOONS.MOON_4.ATTRIBUTE_2	モンスターをつかんだ時のオーバーチャージ速度が 50% 上昇
MOONS.MOON_4.ATTRIBUTE_3	モンスターが落とし穴から受けるダメージがさらに減少した
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	光過敏症に関する警告
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	このゲームには点滅する光が含まれています
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	一部の方には特定の光のパターンや点滅する光にさらされると、てんかんの発作を起こす可能性があります。プレイ中に体調に異変を感じた場合は、すぐにプレイを中止し、医師にご相談ください。
LEVEL.NAME.SHOP	サービスステーション
LEVEL.NAME.ARENA	廃棄処理場
LEVEL.NAME.ARCTIC	マクジャネックステーション
LEVEL.NAME.MANOR	ヘッドマン・マナー
LEVEL.NAME.MUSEUM	ミュージアム・オブ・ヒューマンアート
LEVEL.NAME.WIZARD	スイフトブルームアカデミー
LOADING.LEVEL.SHOP	ショップ
LOADING.LEVEL.LEVEL_NUMBER	Level {number}
LOADING.LEVEL.GAME_OVER	Game Over
SAVES.SAVE_INFO.PLAYER_SOLO	ソロプレイ!
